Teks,Bintang,Tanggal
habis di-update jelek banget babi. tampilan jumlah lagu yg diputar ga dimunculkan.,1,2025-09-26 15:04:26
"beli premium duo,ngurusin addresnya trouble mulu gaje bgt...udah bayar masi kaya gini,hadehh",1,2025-09-26 15:02:31
suara nya jelas Poko nya Spotify bagus banget buat denger lagu,5,2025-09-26 15:01:31
sru aja si kata aku,3,2025-09-26 14:56:35
Saya paling suka dari dulu aplikasi ini iklan nya pun tak bayak,5,2025-09-26 14:51:06
ok,5,2025-09-26 14:41:10
gapapa jelek aja,1,2025-09-26 14:36:10
mantap,5,2025-09-26 14:34:50
SAMPAHHHHHHHH,1,2025-09-26 14:29:53
I LOVE U SPOTIFY aku gk bisa hidup tanpa muu❤️❤️❤️,5,2025-09-26 14:29:12
"banyak sekali iklan, lirik sudah banyak yang ilang juga. jadi gak bisa nyanyi lagi, terus terlalu diskriminasi dengan pengguna gratisan. seandainya kalau ada uang aku juga akan beli tau gak!!!!. intinya aku kecewa",1,2025-09-26 14:28:52
ga tau,1,2025-09-26 14:19:40
apk ini bagus banget,5,2025-09-26 14:11:37
👍,5,2025-09-26 14:03:50
"suka error kalau ga update, aneh tolong diperbaikin, tau update buat lebih bagus, tapi masa harus error segala lagian update juga ga ada update gede²an cuma update biasa tiap minggu",1,2025-09-26 13:41:04
top & terbaik👍,5,2025-09-26 13:40:10
enak tapi terkadang harus premium dulu terus ditunggu beberapa hari baru deh seperti biasa,4,2025-09-26 13:29:28
Kamu mau gak jadi pacar aku,5,2025-09-26 13:27:43
"terima kasih admin sarah m yang sudah membantu saya refund. awalnya saya berlangganan paket 59.900 untuk 3 bulan, yang ternyata hanya untuk satu bulan. ketika chat admin, baru uang dapat dikembalikan",5,2025-09-26 13:26:21
bagus banget,5,2025-09-26 13:15:40
di aku banyak iklan nya tapi gapapa tetep bagus lengkap andd pokok nya baguss sipp👍🏻👍🏻,4,2025-09-26 12:51:59
aku udah tau kisah gelap nya,1,2025-09-26 12:49:03
Mantappp,5,2025-09-26 12:33:29
TOP,5,2025-09-26 12:23:08
cakep,5,2025-09-26 12:18:10
josjis,5,2025-09-26 12:17:41
bgus bet,5,2025-09-26 12:17:13
iklannya nambah jadi 3 ☹️,3,2025-09-26 12:08:33
"bug, suddenly stop playing",1,2025-09-26 12:07:34
bagus,5,2025-09-26 12:05:21
ok Bagus untuk.semua musik,5,2025-09-26 11:55:17
"Good application but there is a small bug, sometimes when I want to open the application it takes a long time and then suddenly it goes straight in, please fix the bug",3,2025-09-26 11:52:04
bagus banget,5,2025-09-26 11:42:22
bagus buat denger musik,5,2025-09-26 11:39:32
sangat bagus👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻💀,5,2025-09-26 11:38:12
bagus,5,2025-09-26 11:35:58
bagus banget bisa dengerin lagu apa aja,5,2025-09-26 11:35:22
enak banget,5,2025-09-26 11:32:37
bagus,4,2025-09-26 11:26:00
terlalu bagus ah,5,2025-09-26 11:14:34
APLIKASINYA BAGUS DAN KEREN BGT,5,2025-09-26 11:08:14
bagus bngt,5,2025-09-26 11:06:41
mantap,5,2025-09-26 11:03:30
bla bla bla ble ble ble blu blu blu,5,2025-09-26 11:03:14
subrek welino,5,2025-09-26 10:56:23
bgus tpi sering ada iklan jdii biasa aja kalau ga ada iklan bakalan enakkk di denger tnpa gangguan,3,2025-09-26 10:47:17
keren,5,2025-09-26 10:45:22
b aja,5,2025-09-26 10:37:17
saya sangat senang denger lagu kesaan saya disini,5,2025-09-26 10:37:14
keren dan mantep,5,2025-09-26 10:35:55
males karena ada iklannya,4,2025-09-26 10:31:33
bagus banget lengkap lagi lagu nya,5,2025-09-26 10:28:25
"the application is really good It's really good, you guys should download this application, it's really better than TikTok",5,2025-09-26 10:12:01
isk,5,2025-09-26 10:03:31
bagus,5,2025-09-26 09:42:45
spotify iniiii sangatt seruuuu sya sangat sukaaa sekaliii kalo sy lagi apa sya pasti cariii lagi di spotify,5,2025-09-26 09:39:59
ok banget,5,2025-09-26 09:38:31
Niceee,5,2025-09-26 09:35:49
"kok mode shuffle nya ngaco, kalau pilih lagu harusnya yg next nya beda, lah ini malah tetep sama",3,2025-09-26 09:27:34
menyenang kan,5,2025-09-26 09:25:24
aplikasi nya bagus sangat cocok di gunakan berbagai kalangan,5,2025-09-26 09:14:21
good,5,2025-09-26 09:11:52
bagus sekali,5,2025-09-26 08:59:25
lagu nya banyak banget,5,2025-09-26 08:49:14
kebanyakan iklan,1,2025-09-26 08:46:22
mantap,5,2025-09-26 08:42:11
apk ini sangat bagus,5,2025-09-26 08:35:28
ga bisa login,1,2025-09-26 08:31:49
sangat menhibur,5,2025-09-26 08:27:48
⭐⭐⭐⭐⭐,5,2025-09-26 08:21:16
ini membuat saya menjadi tenang saat bemain gema,5,2025-09-26 08:05:46
kebanyakan iklan,1,2025-09-26 08:00:27
SCAM PREM STUDENTS,4,2025-09-26 07:54:56
"enak untuk mendengarkan musik,suara tidak putus putus",5,2025-09-26 07:48:40
bagus,5,2025-09-26 07:39:40
bagus,4,2025-09-26 07:32:37
okeh mantap laguya pada enak,5,2025-09-26 07:32:30
bisa nih buat galau🤡,4,2025-09-26 07:21:07
Aku belum bisa sekarang aku kasi bintang tiga aja dulu ya kalo udah bisa aku kasi bintang lima ya okay bay bay,3,2025-09-26 07:18:54
bagus banget dan apa saja yang aku mau pasti ada,5,2025-09-26 07:14:19
BINTANG LIMA POKOKNYA SPOTify,5,2025-09-26 07:05:50
"spotify banyakan iklan, orang ga mau premium di suruh premium, kebelet haji ya 😏",1,2025-09-26 06:59:43
bagus,5,2025-09-26 06:53:11
sangat bagus tapi ada sedikit gejala saat lagu sudah di putar seperti iklan iklan dan iklan,4,2025-09-26 06:46:44
"ok,,,",5,2025-09-26 06:37:27
lengkap banget,5,2025-09-26 06:37:24
bagusss sekali 👌👌😍,5,2025-09-26 06:32:07
baru coba,5,2025-09-26 06:22:35
enak di dgr walaupun lg kdg gk sesuai yg kita mauh tp bgs gk prlu byr mksh☺😊,5,2025-09-26 06:05:49
jadi enk pas dengerin lagu nya😌 tpi aku gk suka sama iklannya ngeganggu aja 😗,5,2025-09-26 06:03:57
bagus,5,2025-09-26 06:03:28
yok coll mantab bgt,5,2025-09-26 05:44:17
bagusssssss,5,2025-09-26 05:42:04
saya suka sekali,5,2025-09-26 05:28:51
semoga masih bisa terus di dengerkan,5,2025-09-26 05:16:44
aaaa aku suka bgt sama Spotify cinta bgt deh sama app yg satu ini🤭,5,2025-09-26 05:16:01
cocok untuk galau🤭🤭,5,2025-09-26 04:56:48
mantap,5,2025-09-26 04:52:35
menarik,5,2025-09-26 04:43:27
No disk,5,2025-09-26 04:43:03
bagus untuk nyetel music,5,2025-09-26 04:41:55
sangat membantu,5,2025-09-26 04:35:43
5 bintang kerana sangat amatt bagus tau gaa kerana bagus nya apa aku bisa ngesadd🤫,5,2025-09-26 04:34:08
"aplikasi nya bagus, layanan premium nya juga berfungsi sesuai. tapi kapan bisa seperti apple music, yg bisa menampilkan lyric saat terhubung android auto?",3,2025-09-26 04:33:10
bagussss...,5,2025-09-26 04:01:03
ini aku cuman mau bilang bagusih tapi pas aku hapus Spotify nya aku masuk kan lewat email jadi di suruh masukin password jadi ku masukin passwordnya tapi katanya pasword salah itu membuat aku jadi bingung kumasukkan sandi Email segala macam tapi tetap ngak bisa jadi tolong di perbaiki itu ngebuat aku ngak nyaman sekian terima kasih jangan lupa di perbaikin ya🙏,4,2025-09-26 03:32:55
rusak ni apk gak biasa buat akun selalu terjadi masalah,1,2025-09-26 03:32:00
terrr....,5,2025-09-26 03:21:34
sangat bagussss,5,2025-09-26 03:14:04
mantap...dan teruslah berkarya serta berinovasi,5,2025-09-26 02:26:19
gw masuk spotify malah bacaan seperti nya ada yang salah coba lagi padahal jaringan gw gk lemot atau pun lag ah kecewa berat apa spotify,1,2025-09-26 02:20:43
terlalu banyak iklan baru buka udah iklan baru mutar 1 lagu tapi dah iklan lagi... apa lagi iklanya 2 langsung benar benar buruk mau dengerin lagu dengan santai malah kebanyakan iklan 💩,1,2025-09-26 02:07:47
aplikasinya bagus tapi banyak iklannya kalo bisa iklannya di hapus,5,2025-09-26 01:51:23
gak suka,1,2025-09-26 01:46:03
👍,5,2025-09-26 01:38:16
"jujur ini aplikasi buat play musik terbagus sih, gratis lgi. tpi tolong hilangkan iklan nya.",5,2025-09-26 01:36:08
bagus bangeeeeeeeeeeet,5,2025-09-26 01:36:05
terlalu banyak syarat dalam menggunakan aplikasi apa2 harus bayar dan mau ganti lagu pun di batas cman 3 kli dan harus nunggu 6 jam,1,2025-09-26 01:35:24
ok,5,2025-09-26 01:06:46
mantap,5,2025-09-26 01:06:24
baguss bangett 🫶🥰,5,2025-09-26 00:58:30
bagus,5,2025-09-26 00:41:48
the best pokoknya,5,2025-09-26 00:12:29
bagus sekali komplit,5,2025-09-26 00:10:57
bagus,5,2025-09-26 00:04:29
"nng iklan saking ngemis e kpencet iklan e wae lngsung otomatis download apk sporty ne , jan blas gak ndue isin tnn",1,2025-09-25 23:48:59
iklanya kebanyakan bagi yang ga premium,1,2025-09-25 23:46:47
Memberikan fasilitas mendengarkan music dengan nyaman,5,2025-09-25 23:45:09
Iklannya jelek bgt. Apaan tingklutek takting takletek *sfx gelas dibuat perkusi. Jelek dan mengganggu. Iklannya tambah ga jelas lg. Gua orang indo dikasih iklan bahasa eropa. Susah cari lagu dipencarian karena tidak bisa langsung dimainkan dan harus diputar acak dulu,1,2025-09-25 23:29:39
lagu nya banyak dan enak didenger,5,2025-09-25 23:12:25
good👍,5,2025-09-25 23:07:17
good,5,2025-09-25 22:45:18
nice aplikasi,5,2025-09-25 22:31:50
bagus banget,5,2025-09-25 22:27:31
bagus,5,2025-09-25 21:41:53
update melulu,3,2025-09-25 21:29:39
goodd,5,2025-09-25 21:20:52
bagus,4,2025-09-25 20:35:51
"aplikasi aneh, lagu sering terhenti sendiri....tolong segera di fix.",1,2025-09-25 20:33:47
bagus,5,2025-09-25 20:04:06
"iklannya kelamaan kebanyakan, isi premium juga ga besar keuntungannya.",1,2025-09-25 19:33:08
ok,4,2025-09-25 19:24:59
"bagus sih,, iklan nya juga g ganggu",5,2025-09-25 18:46:40
keren,5,2025-09-25 18:17:42
sangat cocok,5,2025-09-25 18:17:41
"untuk sejauh ini dan selama ini oke"" aja,cukup puas juga,enak buat temen tidur,enak juga kalo lagi bosen,intinya i like spotify 😍😍💗🤸🏻‍♀️🏃🏻‍♀️",4,2025-09-25 18:04:16
KURANG BANYAK IKLANNYA,5,2025-09-25 17:56:03
bagus,5,2025-09-25 17:44:51
SPOTIFY SELALU jadi aplikasi yang setiap hari pasti aku buka untuk semangat beraktifivitas dan mbalikin mood akuuu😘😘😘,5,2025-09-25 16:46:58
keren MasyaAllah,5,2025-09-25 16:27:45
"aplikasi nya baguss bngttt,gakk ngelag lagii enak bngt buat di pake pas lgi tdr ataupun lagii galauu",4,2025-09-25 16:25:48
ga manusiawi lu bg. kecewa gw,1,2025-09-25 16:24:12
Sepp,4,2025-09-25 16:19:03
aku sangat senang aplikasi ini ada karna dia bukan cuman aplikasi dia juga teman bagi saya karna dia selalu ada di hidupku,5,2025-09-25 16:14:34
iklannya 4 klo mao dengerin lagu setiap 2 lagu iklan 4,3,2025-09-25 16:02:09
aplikasi luar biasa,5,2025-09-25 15:58:52
"jangan hivi mulu plish, udah muak gw",1,2025-09-25 15:50:37
bagus,5,2025-09-25 15:47:55
"bagus, lengkap bngt",5,2025-09-25 15:46:54
"serba harus premium,",1,2025-09-25 15:40:14
musik nya enak dan lengkap,5,2025-09-25 15:36:17
bagus gratis walaupun ada gangguan,5,2025-09-25 15:20:54
suaranya bagus,5,2025-09-25 15:18:29
Saya menyukai spotify karna banyak musik faforit saya,5,2025-09-25 15:15:39
burik😹,1,2025-09-25 14:49:37
mantap banget,5,2025-09-25 14:38:11
bagus,5,2025-09-25 14:35:56
"lama kelamaan di paksa harus pake premium,jadi terbatas denger musik nya,tapi bagus sih 3 bintang",3,2025-09-25 14:29:51
seru sambil belajar,5,2025-09-25 14:28:39
seru,5,2025-09-25 14:25:15
aplikasih spotify enak banget dan seruu iklan ny gak banyk cmn dikitt doang durasinya palingan gak nyampe 20 detik. aplikasih ini mudah untuk di pahami dan mudah di gunakan.,5,2025-09-25 14:21:39
aplikasi favorite,5,2025-09-25 14:16:25
Disi gampang menemukan musik yang ku ingin hanya menulis lagu saja kalau tidak ingat judul Langsung dapet jadi gua saranin donglod,5,2025-09-25 14:14:58
bagus sekali aplikasi nya,5,2025-09-25 14:14:58
can listen to songs even though there is no wifi/quota fun poll,5,2025-09-25 14:09:32
"pokoknya spotify is the best,pencarian lagunya sesuai dgn expectassy,,,",5,2025-09-25 14:08:20
Spotify is good but there are a lot of ads please don't give ads but still use wifi,4,2025-09-25 14:08:09
bagus banget lagunya sesuai yg kita mau dan bisa keluar dari aplikasi juga pokoknya bagus banget deh aku kasih nilai bintang 5,5,2025-09-25 13:57:57
saya sangat suka banyak lagu bagus dan populer,5,2025-09-25 13:56:29
sangat bagus,5,2025-09-25 13:52:47
aplikasinya sangat membantu saat main game,5,2025-09-25 13:42:09
aplikasi keren,5,2025-09-25 13:40:21
spotify musik yg bagus untuk di download bagi pencinta musik.,5,2025-09-25 13:40:05
lagu nya memperoleh bayak lagi ya seper ti tabola bale,5,2025-09-25 13:31:46
bgus,5,2025-09-25 13:21:27
suka bgttt😍,5,2025-09-25 13:21:16
min tolong akunku udah bayar premium tapi di apk masih ada notif pembayaran anda sebelumnya gagal gimana ini min masa bayar lagi ?? bukti saya ada,3,2025-09-25 13:11:59
"saat pertama kali masuk semuanya gelap tidak ada text dan tidak ada saran lagu, membuat muak dan emosi apalagi banyak bug seperti tidak bisa memutar lagu, tidak bisa login, tidak bisa mencari lagu, hadehh",1,2025-09-25 13:11:38
berbagai jenis lagu nya bisa di pakai saat saya bermaim sesuatu imi sangatlah bagus untuk saya yang harus fokus saat bermain,5,2025-09-25 13:11:09
okey..muantap,5,2025-09-25 13:06:31
malas lah kalo ada Iklannya,3,2025-09-25 12:58:07
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5,2025-09-25 12:53:56
mati Matian melulu solusi...,2,2025-09-25 12:53:20
mantap,5,2025-09-25 12:51:27
iklan mulu anjrr,1,2025-09-25 12:51:09
sangat bagus,5,2025-09-25 12:48:48
lagu enak banget KLO ada sih VIP gratis aja gitu,5,2025-09-25 12:39:58
bagus untuk mendengarkan lagu 🎶,5,2025-09-25 12:35:52
wahhh bagus nih aplikasi buat ngedengerin musik,5,2025-09-25 12:30:00
"Manteb, apa lagi saya suka denger musik kalo lagi bljr,tapi tolong dong, kasi diskon buat pelajar untuk premium nya",5,2025-09-25 12:21:07
ini sangat cocok bagi saya😁,5,2025-09-25 12:13:30
"aplikasi yg paling simpel menurut aku, tpi kalau boleh saran mungkin bisa di aktifkan lagi premium yg satu hari & 7 hari..",5,2025-09-25 12:05:36
aneh bgt gua lagi setel musik terus mati sendiri. it's been one year dan masalahnya tetep sama. hmzzz,4,2025-09-25 11:46:29
LOVE U😝😝😝😝,5,2025-09-25 11:42:07
bagus.. tapi ada yang dikurangi seperti IKLAN tolong hilang itu aja plis. aku mau muter lagu bukan muter iklan,5,2025-09-25 11:41:01
berguna baget,5,2025-09-25 11:06:13
apps nya bagus dan semua lagu ada pokok nya kalian semua harus donlod appsini okeee 😻😻,5,2025-09-25 10:53:18
saya sangat suka,5,2025-09-25 10:51:43
baik,5,2025-09-25 10:41:30
sangat bagus,5,2025-09-25 10:36:02
lumayan lah buat dengerin lagu,4,2025-09-25 10:35:49
Bagus,5,2025-09-25 10:33:51
e s seeeeee r,4,2025-09-25 10:27:14
bagus skli,5,2025-09-25 10:24:56
bagus,5,2025-09-25 10:23:28
sangat bagus 💝🥰🫵,5,2025-09-25 10:19:33
"semua di batasi, minimal di suruh beli premium",1,2025-09-25 09:56:11
"aplikasi kikir, apa apa bayar",1,2025-09-25 09:52:14
apakah aplikasi ini iklan yang penu,3,2025-09-25 09:41:58
"mudah untuk di akses, dan ori",5,2025-09-25 09:41:25
mantap,5,2025-09-25 09:41:00
bagusss...lagunya enak²hampir semua lagu kesukaan ku ada disini🤭🌷,5,2025-09-25 09:35:05
okay,5,2025-09-25 09:34:08
terlalu bnyak iklan jadi kurang suka lebih baik cari musik yang lain,1,2025-09-25 09:06:59
matnep banget spotify,5,2025-09-25 08:52:26
sangatt bagusss,5,2025-09-25 08:33:42
bagus,4,2025-09-25 08:28:44
"mantap memberikan sensasi dan fower, setiap dnger lagu di Spotify,",5,2025-09-25 08:25:58
mantap,5,2025-09-25 08:17:38
mantapppppppppp,5,2025-09-25 08:11:59
Mantap,5,2025-09-25 08:00:25
bagus lah,5,2025-09-25 07:45:34
good enough,5,2025-09-25 07:29:06
"bagus,spotify sering nemenin aku pas lagi sedih' nya lagu ngk juga bagus dn lengkap,pokok nya sesuka itu sama Spotify",4,2025-09-25 07:08:50
malah ngedukung perang,1,2025-09-25 07:02:54
pas gua nyari lagu tabola bale kan udah selesai pas gua mau ganti lagu buat mainff sebelum nya kan selesai setel lagu kan kalo udah kan ganti lagu pas gua mau bilangin lagu nya kok gabisa? jadikan gua bingung pas gua mau nyetel lagu ff nya kok gabisa ya? pliss kasih tau caranya:⁠-⁠),4,2025-09-25 06:56:16
Bagus sekali apk ini saya sangat suka,5,2025-09-25 06:49:48
muatap,5,2025-09-25 06:49:34
bagus banget,5,2025-09-25 06:48:34
bguss,5,2025-09-25 06:30:34
"berbayar... kurang bagus... sudah paket di pakai, bayar lagi",2,2025-09-25 06:29:22
bagus,5,2025-09-25 06:22:25
tidak ada mini paket,1,2025-09-25 06:16:39
iklan nya terlalu buanyak :(,3,2025-09-25 06:01:02
baguss,5,2025-09-25 05:55:47
sangat asikk,5,2025-09-25 05:52:01
Enak banget Dengar lagunya 🥰🥰🥰,5,2025-09-25 05:50:15
padhl jaringan ku bagus tapi gak bisa pencarian nya,1,2025-09-25 05:45:39
menurut ku aplikasi Spotify itu bagus tapi kebanyakan premium nya masa 59.000? bisa di kurangi? soalnya mahal bagi saya.makasi,4,2025-09-25 05:39:40
enak musik nyaa,5,2025-09-25 05:33:36
baru 2 lagu udah iklan kalok mau di premium kan ngasi harga yang ngotak lah,2,2025-09-25 05:30:59
"enak bgt kalo ngedenger lagi disinieeee omagaaa,kalo ga hafal tinggal liat ajaaa",5,2025-09-25 05:21:10
pokoknya mah udah bagus bangettttttttt💓💓💓💓💯💯💯,5,2025-09-25 05:14:26
best music app,5,2025-09-25 04:49:38
good,5,2025-09-25 04:37:03
aku pakai ke premium bukannya kualitas suaranya kencang jelas ini malah kecil banget padahal volume udah mentok maksimal pake speaker bluetooth jg masih kecil suaranya. dulu pake yg gk premium suaranya malah kenceng hmmmmm,3,2025-09-25 04:14:14
good,5,2025-09-25 04:11:05
ok lumayan bagus,5,2025-09-25 03:53:59
"bagus bangett, aku suka sama apk ini. enak buat dengerin musik, bisa sambil apa aja. dan Alhamdulillah nya, aku ga pernah kalo lagi dengerin musik ada iklan nya. jadi suka dehh. memang sih, kalo buka apk nya baru banyak iklan nya, tapi cuman iklan gambar aja, kaya promosi, tapi iklan suara nya ga ada.",5,2025-09-25 03:34:54
cuma ko lgu utk didgerin gk bisa lgsg urutan y...,5,2025-09-25 03:29:35
Great,5,2025-09-25 03:27:20
Nice app,5,2025-09-25 03:11:07
2% dengarin musik 8% dengarin iklan,2,2025-09-25 03:02:24
oke zone,5,2025-09-25 03:00:47
mntap,5,2025-09-25 02:52:41
lumayan tp iklan berderet,5,2025-09-25 02:52:10
"makin lama nih aplikasi makin menjadi-jadi iklannya dulu 1 iklan terus 2 iklan sekarang 3 iklan, 1 iklannya memakan waktu 1 menit, lama lama juga 4 iklan",1,2025-09-25 02:22:50
zionis,1,2025-09-25 02:20:39
mantap,5,2025-09-25 02:04:21
"kebanyakan iklan, gw pindah ke aplikasi sebelah aja",1,2025-09-25 01:58:27
"tiap hari saya buka aplikasi ini,sangat bagus😘",5,2025-09-25 01:23:55
keren,5,2025-09-25 01:21:41
saya slalu dengar musik terbaru lwt Spotify apalagi sambil olah raga jalan pagi,5,2025-09-25 01:02:45
kenapa pas login keluar,1,2025-09-25 00:51:25
terlalu banyak iklan,1,2025-09-25 00:49:36
bagus si,5,2025-09-25 00:30:48
banyak iklannya,1,2025-09-25 00:19:52
banyak iklan banget sekarang anjirt,2,2025-09-25 00:12:42
"sangat bguss, jadi bisa mendengarkan musik tanpa speaker yg mahal",5,2025-09-24 23:48:11
mantap pokonya,5,2025-09-24 22:43:35
jos,5,2025-09-24 21:13:51
Di coba dulu,4,2025-09-24 20:27:39
nice,5,2025-09-24 19:41:47
alasan Spotify makin banyak iklan karena untuk mendapat kan uang lebih banyak karena ceo Spotify berinvestasi ke Jerman buat dron untuk perang dan membunbun rakyat p4lestina,1,2025-09-24 19:08:15
top,5,2025-09-24 19:06:49
fine af,5,2025-09-24 18:08:56
apk kikir dikit dikit iklan berlangganan perbulan mahal banget cuman untuk dengerin musik gajelas gw hapus aja lah ini apk,1,2025-09-24 18:03:56
aplikasi nya sangat bagus untuk iklan juga ok gk bikin kaget tapi ada kekurangan nya tidak bisa maju mundur lagu nya selain itu udah ok semua untuk masalah algoritma joss dah saya dengerin lagu dj playlist nya dj semua terus saya dengerin lagu umamusume playlist nya umusume juga,5,2025-09-24 18:03:34
awas😂,1,2025-09-24 17:50:28
"enak bangett, lagi galau, lagi butterfly era, lagi kangen atau yg lainnya ttp enak bangett, lagunyaa full 👍🏻",5,2025-09-24 17:46:23
jooss,5,2025-09-24 17:30:11
mantap,5,2025-09-24 16:31:08
mode offline sering bug,1,2025-09-24 16:29:12
mantab,5,2025-09-24 16:26:16
mantap.....tapi kalo ngasih iklan 1 aja lah gw mau make premium gak ada duit....tapi gacor,5,2025-09-24 16:08:00
"Error tidak bisa beli premium, kecewa",1,2025-09-24 16:05:14
gak bisa login Facebook tolol emang,1,2025-09-24 15:50:18
lebih dari sekedar cukup semoga lebih sukses lagi!!,5,2025-09-24 15:42:08
masa putar secara berurutan harus langganan? plislah awalnya pengen dengerin album favorit lagu berikutnya malah lagu yang lain malah jadi gaa mood pengennya dengeren di spotify buat naikin mood malh di buat gaa mood dengan adanya putar ber-urutan di jadikan langganan👎👎. maaf aku kasih bintang satu,1,2025-09-24 15:39:16
mantap,5,2025-09-24 15:25:28
"over all baguss sii, cuma saran aku si iklannya jangan terlalu banyak. itu aja si",5,2025-09-24 15:22:38
"dengar lagu sesuai apa yg kita inginkan, tapi sayang susah terbuka free jika habis masa premium",5,2025-09-24 15:17:54
Aplikasi ini sungguh2 saya sukai karena kamu sangat baik,5,2025-09-24 15:14:35
taeh taeh,5,2025-09-24 15:14:22
tolong dimurahin dikit,2,2025-09-24 15:07:45
"aplikasi kikir, dikit dikit nyuruh premium",1,2025-09-24 15:07:04
"tolong paket harian munculin masa udah ngeplaylist, paket udah habis mulai nya ngacak",4,2025-09-24 15:02:45
😠😠😠😠😠😠😠,1,2025-09-24 15:01:10
"bagus bgt,lengkap lagi,love you🤗",5,2025-09-24 14:54:05
gk ke dlu lgi !!!,1,2025-09-24 14:53:38
good,5,2025-09-24 14:44:09
ya membuat saya tenang jika ingin galau sangat luar biasa,5,2025-09-24 14:42:35
KEBANYAKAN IKLAN NIH AH ELAH,5,2025-09-24 14:41:52
terlalu banyakniklam,5,2025-09-24 14:36:35
"bagus sih,tapi banyak banget iklannya untuk yang free jadi tolong dikurangi iklannya ,hanya saran kalo banyak iklan jadi saat dengar lagu jadi tidak nyaman jadi moohonn sekali untuk kurangi iklan🙏",4,2025-09-24 14:33:05
ok semuanya,5,2025-09-24 14:28:59
good,5,2025-09-24 14:28:31
aplikasi bodo,1,2025-09-24 14:25:52
bagusss,5,2025-09-24 14:25:03
bagus aplikasi nya,5,2025-09-24 14:18:48
ngelag yg di stel lagu apa yg muncul lagu pica-pica huuuu,3,2025-09-24 14:15:59
"apk nya bagus lagu nya juga lengkap dan saya gak mempermasalahkan iklan nya karena saya juga make yg free tapi yang bikin bete tuh pas lagi muter lagu dan buka apk lain lagunya malah ke pouse sendiri padahal sudah di update, jadi tolong diperbaiki atmin🙏",2,2025-09-24 14:13:28
"apa apa di premiumin kek sekarang mau ganti lagu aja harus prem, sumpah ini aplikasi musik terkikir ogah dah gw pake lagi",2,2025-09-24 14:03:08
bagus,1,2025-09-24 13:55:23
"saya sadar pakai yg free pasti ada iklan tapi ini tiap ganti lagu (1 kali) itu iklan, iklannya berlebihan jadinya gabsia menikmati lagu",3,2025-09-24 13:49:38
WENAKK WENAKSS,5,2025-09-24 13:48:51
banyak iklan setelah itu iklan nya maksa lagi agar kita dapat beli Spotify premium,1,2025-09-24 13:47:27
God jabb😙,5,2025-09-24 13:37:04
"hampir semua musik, mantap",5,2025-09-24 13:36:22
bagaimana cara aku mengulang lagu di versi sekarang,1,2025-09-24 13:35:50
jelek aku gak akan mau instal lagi setres kerjain skripsi + lagi datang bulan malah lagunya terbatas dan harus bayar premium,1,2025-09-24 13:26:02
aku sukaaaaaa,5,2025-09-24 13:24:08
bagus,5,2025-09-24 13:20:52
"musik yang bagus ,tapi tambahkan juga lirik nya ,rata rata lirik nya ga ada",5,2025-09-24 12:54:20
awesome,5,2025-09-24 12:49:35
gasss poll,5,2025-09-24 12:45:30
bagus,5,2025-09-24 12:33:06
𝗯𝗮𝗴𝘂𝘀𝘀𝘀 𝗯𝗻𝗴𝘁 𝗿𝗲𝗰𝗼𝗺𝗲𝗻𝗱𝗲𝗱,5,2025-09-24 12:32:34
enak,5,2025-09-24 12:28:23
sebenernya aplikasi ini bagus tapi semua orang yang berlangganan pasti merasa di khianati karena uang langganannya di gunakan untuk senjata pembunuhan. MIRIS,1,2025-09-24 12:28:10
join spotify skarang ya. di jamin gx kan nyesel🥰🥰,5,2025-09-24 12:22:52
teman setia dikala sendiri,5,2025-09-24 12:20:57
bagusss,5,2025-09-24 12:20:34
makin update makin ga jelas,1,2025-09-24 12:18:59
perlu penambaham fitur equalizer untuk mengatur bass & treble,3,2025-09-24 12:17:47
sangat bagus untuk menderngarkan musik,5,2025-09-24 12:16:49
Lagunya Lengkap Dan Asik Banget,5,2025-09-24 12:04:51
bagus teman di kala sendiri,5,2025-09-24 11:58:35
I like the k-pop songs and it's complete I hope there will be more k-pop albums,5,2025-09-24 11:57:21
katanya gak ada iklan tapi didalamnya ada iklan,1,2025-09-24 11:50:09
"kalau dr segi apa"" udh bagus banget, bikin playlist ga susah, nyari lagu dari lirik dll, tapi sbg pengguna gratisan (free) itu ada beberapa hal yg mnurutku ngeselin gt. 1. iklan tiap kali mau gnti lagu, tapi iklannya itu bnrn muncul pas mw ganti lagu, maksudku kita hbis selesai ngedengerin lagu kepncet lagu ini padhal mau lagu yg lain, trs pas mw klik lagu yg baru malah iklan lagi, ga dijadwalkan sesuai waktu. 2. APA APAAN BATASAN PEMUTARAN LAGU ITU?? PERASAAN DULU GA DIBATASIN.. APA APA PREMIUM",3,2025-09-24 11:43:32
"apa apa premium, iklan 2 gabisa di skip, milih lagu aja harus premium pake batasan segala, ni aplikasi nyiksa bgt sih buat yang gratisan",1,2025-09-24 11:41:42
jos,5,2025-09-24 11:38:32
"burik, ga bisa diskip sekalinya bisa skip malah langsung ke skip 2 musik ajg",1,2025-09-24 11:32:15
bagus,1,2025-09-24 11:04:52
good,5,2025-09-24 10:57:21
sangat menghibur banget dah pokoknya.mantap,5,2025-09-24 10:56:29
woww,5,2025-09-24 10:55:04
spotify luar biasa,4,2025-09-24 10:52:11
bagus semua lagu ada,5,2025-09-24 10:48:15
keren buat menemani di semua kegiatan,5,2025-09-24 10:47:25
